年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2020,9.63,9.96,22.18,14.55
2019,8.19,8.79,20.47,15.42
2018,6.82,7.61,19.29,15.94
2017,5.62,7.15,20.57,17.66
2016,5.22,9.41,33.12,27.2
2015,2.99,8.09,34.93,25.72
2014,0.57,7.08,29.95,21.38
