年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,363.3,2.04,8.45,4.84,0.9
2019,311.8,0.95,4.79,2.8,0.51
2018,321.4,3.53,15.78,9.1,1.2
2017,192.3,1.97,9.73,5.48,1.0
2016,152.1,1.33,7.51,4.42,0.7
2015,113.8,0.45,2.68,1.62,0.21
2014,99.33,0.64,3.97,2.28,0.0
2013,77.59,-0.77,-3.92,-2.19,0.0
2012,104.2,-0.9,-4.95,-2.66,0.0
2011,65.61,-1.2,-6.38,-3.31,0.0
2010,122.6,1.55,8.0,4.25,0.4
2009,74.86,0.47,3.82,2.08,0.0
2008,60.5,-1.57,-9.14,-5.02,0.0
2007,120.7,0.51,2.49,1.46,0.3
2006,155.3,2.67,15.12,9.73,1.5
2005,70.38,0.47,2.87,2.02,0.0
2004,119.8,2.63,13.68,9.52,1.01
2003,41.38,0.1,0.58,0.38,0.0
2002,37.85,0.31,1.95,1.24,0.0
2001,27.7,-0.61,-4.01,-2.42,0.0
2000,102.4,2.4,14.65,8.26,0.2
