年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,9.1,5.51,21.1,14.65,3.86
2019,8.1,5.37,21.32,13.27,3.76
2018,6.82,4.96,21.1,13.14,3.5
2017,5.16,3.13,15.24,10.21,2.27
2016,4.61,3.04,16.69,10.76,2.18
2015,4.02,2.73,14.31,9.22,2.0
2014,3.57,2.13,11.54,7.83,1.7
2013,3.81,3.72,22.89,15.26,2.7
2012,2.41,1.68,11.51,7.42,1.1
2011,2.15,1.8,12.97,9.04,1.0
2010,1.72,1.71,13.0,9.64,1.0
2009,1.34,1.38,10.88,8.08,1.0
2008,0.87,0.68,5.53,4.09,0.5
2007,0.93,0.73,5.94,4.42,0.7
2006,1.02,1.1,9.01,6.67,0.8
2005,0.89,0.93,7.81,5.81,0.75
2004,0.73,0.7,6.11,4.53,0.6
2003,0.63,0.65,5.08,3.87,0.0
2002,0.57,0.57,4.76,3.79,0.5
