年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,20.39,3.92,18.97,9.31,2.5
2019,17.24,1.23,3.51,1.48,1.5
2018,17.99,3.45,10.98,4.33,2.0
2017,15.86,1.83,5.98,2.45,1.25
2016,14.74,1.42,4.79,2.03,0.7
2015,14.28,2.98,10.1,4.17,0.5
2014,13.56,2.97,11.02,4.93,2.2
2013,12.71,2.57,10.02,5.08,2.0
2012,12.15,2.9,11.95,5.89,1.5
2011,10.72,2.8,12.05,5.69,1.5
2010,9.55,2.62,12.17,6.46,1.0
2009,7.68,0.44,2.06,1.18,0.5
2008,8.52,4.31,18.57,10.73,0.51
2007,8.87,6.57,31.18,17.29,4.0
2006,6.91,6.79,35.51,17.54,3.0
2005,5.13,5.77,33.85,15.62,3.0
2004,3.65,5.03,33.17,16.2,2.2
2003,2.34,3.94,29.13,16.95,1.5
2002,0.88,1.28,11.04,7.54,0.76
2001,0.47,0.38,3.42,2.63,0.38
