年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,11.91,1.91,13.45,6.46,1.0
2019,7.04,0.63,3.64,1.62,0.4
2018,5.36,-0.03,-2.46,-1.13,0.1
2017,6.54,0.44,1.41,0.67,0.3
2016,6.35,0.49,1.48,0.73,0.3
2015,5.8,0.31,1.59,0.89,0.25
2014,6.15,0.43,3.29,2.14,0.18
2013,5.46,0.09,0.64,0.41,0.15
2012,6.11,-0.17,-1.52,-0.93,0.1
2011,7.19,1.89,14.32,8.97,0.5
2010,3.8,0.8,6.1,3.84,0.45
2009,3.37,0.91,7.08,4.24,0.32
2008,0.88,-0.13,-1.34,-0.8,0.0
2007,2.66,0.63,4.62,2.92,0.3
2006,1.59,0.36,2.52,1.62,0.22
2005,1.16,0.2,1.33,0.84,0.15
