年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,-6.76,-4.2,-43.78,-9.73,0.0
2019,-4.49,-3.94,-28.84,-8.36,0.0
2018,-3.97,-4.01,-46.51,-10.25,0.0
2017,-3.3,-7.42,-164.1,-19.18,0.0
2016,-8.49,-1.47,-44.7,-10.13,0.0
2015,-6.61,-1.46,-29.72,-9.38,0.0
2014,-4.62,-1.32,-20.09,-7.9,0.0
2013,-3.08,-1.01,-12.86,-5.78,0.0
2012,-1.86,-1.58,-17.03,-8.32,0.0
2011,-1.33,0.38,3.8,1.92,0.0
2010,-1.79,-0.3,-2.96,-1.48,0.0
2009,-1.43,2.74,29.72,13.55,0.0
2008,-4.74,-3.61,-36.18,-15.42,0.0
2007,-13.63,-1.5,-22.69,-10.8,0.0
2006,-9.99,-0.76,-9.64,-5.04,0.0
2005,-8.16,-2.55,-30.42,-16.41,0.0
2000,2.06,0.4,3.77,2.55,0.0
1999,1.01,-0.97,-8.81,-6.37,0.0
1998,3.55,0.38,-3.29,-2.45,0.0
