年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2020,-2.01,-2.34,-48.22,-10.65
2019,-8.85,-3.78,-169.17,-65.47
2018,-5.69,-2.03,-55.39,-25.29
2017,-4.17,-1.17,-22.8,-9.07
2016,-4.42,-2.19,-30.3,-15.16
2015,-2.82,-3.74,-36.16,-23.58
2014,-2.54,-2.65,-19.83,-13.86
2013,-0.65,-0.45,-3.06,-1.69
