季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,34.41,1.75,4.18,2.69
2020Q4,31.92,0.37,0.96,0.62
2020Q3,31.4,0.93,2.45,1.56
2020Q2,30.08,1.73,4.49,2.99
2020Q1,30.2,1.67,4.31,2.99
2019Q4,27.86,0.43,1.34,0.91
2019Q3,27.23,0.77,2.51,1.73
2019Q2,25.86,0.4,1.33,0.96
2019Q1,29.84,0.55,1.76,1.24
2018Q4,28.81,1.52,4.96,3.32
2018Q3,25.89,3.69,13.13,8.7
2018Q2,18.97,1.89,7.24,4.86
2018Q1,16.54,0.14,0.58,0.38
2017Q4,14.98,0.37,1.47,0.97
2017Q3,14.33,0.3,1.29,0.86
2017Q2,13.78,0.19,0.77,0.52
2017Q1,14.07,0.19,0.81,0.55
2016Q4,13.73,0.29,1.49,0.96
2016Q3,13.11,0.24,1.12,0.76
2016Q2,12.58,0.21,1.04,0.76
2016Q1,12.57,0.23,1.14,0.84
2015Q4,11.97,0.2,0.98,0.72
2015Q3,11.4,0.4,2.03,1.5
2015Q2,10.38,0.18,0.94,0.71
2015Q1,10.95,0.17,0.88,0.66
2014Q4,10.52,0.19,0.99,0.72
2014Q3,10.07,0.21,1.16,0.85
2014Q2,9.51,0.1,0.54,0.39
