季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,2.17,0.59,1.43,0.64
2020Q4,3.22,1.16,2.5,1.1
2020Q3,2.74,1.38,4.08,1.68
2020Q2,2.19,0.35,1.57,0.67
2020Q1,5.27,0.2,0.16,0.07
2019Q4,5.19,2.05,4.35,2.05
2019Q3,4.39,3.26,8.22,3.95
2019Q2,3.12,2.67,6.55,3.16
2019Q1,3.53,1.87,5.01,2.64
2018Q4,2.82,1.49,3.57,1.93
2018Q3,2.26,1.36,4.49,2.34
2018Q2,1.76,1.23,3.74,2.08
2018Q1,2.77,0.42,1.48,0.86
2017Q4,2.62,1.47,4.49,2.63
2017Q3,2.13,1.88,7.08,4.01
2017Q2,1.51,1.18,4.51,2.56
2017Q1,2.34,0.47,1.69,1.02
2016Q4,2.19,1.73,6.84,4.06
2016Q3,1.64,1.49,6.0,3.27
2016Q2,1.17,0.97,2.76,1.48
2016Q1,2.35,0.73,2.16,1.32
2015Q4,2.25,1.28,4.05,2.7
2015Q3,1.9,1.7,5.67,3.79
2015Q2,1.42,0.92,2.64,1.84
2015Q1,2.37,1.19,4.25,2.89
2014Q4,2.06,2.24,10.19,6.15
2014Q3,1.53,1.24,6.07,3.53
2014Q2,1.23,1.16,5.31,3.16
