年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,77.13,2.24,7.7,2.57,1.12
2019,74.57,4.26,14.73,5.11,1.4
2018,63.95,1.29,4.7,1.7,0.65
2017,61.04,0.43,1.56,0.58,0.3
2016,63.27,2.36,8.18,3.17,1.15
2015,59.17,1.85,6.26,2.65,1.0
2014,58.34,8.73,33.36,15.11,1.5
2013,46.06,4.25,13.58,5.9,2.0
2012,40.58,4.29,14.94,6.35,1.5
2011,35.41,3.87,14.96,6.62,1.95
2010,29.16,1.29,5.2,2.37,0.5
2009,27.24,-0.34,-1.47,-0.68,0.3
2008,28.91,0.01,-1.22,-0.58,0.3
2007,31.86,3.0,9.39,4.72,1.0
2006,34.19,11.0,38.8,20.63,3.0
2005,22.97,9.76,40.97,19.86,2.25
2004,14.45,7.26,35.7,15.14,1.5
2003,9.96,6.84,35.25,14.27,1.0
2002,6.48,6.54,32.86,12.91,1.0
