季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,12.58,1.35,5.38,2.51
2020Q4,15.71,1.29,4.98,2.56
2020Q3,14.37,1.1,4.42,2.28
2020Q2,14.05,1.07,4.52,2.22
2020Q1,12.87,1.22,4.96,2.56
2019Q4,16.3,1.16,4.47,2.51
2019Q3,15.12,0.89,3.61,2.0
2019Q2,13.63,1.0,3.94,2.21
2019Q1,15.76,1.15,4.5,2.53
2018Q4,14.53,1.14,4.69,2.57
2018Q3,13.32,0.77,3.29,1.83
2018Q2,12.5,0.87,3.64,2.1
2018Q1,14.36,1.02,4.18,2.49
2017Q4,12.33,0.61,2.9,1.71
2017Q3,11.65,0.76,3.18,1.89
2017Q2,10.84,0.6,2.9,1.77
2017Q1,12.63,0.55,2.65,1.61
2016Q4,11.9,0.5,2.47,1.43
2016Q3,11.28,0.72,3.63,2.16
2016Q2,10.32,0.53,2.6,1.68
2016Q1,12.0,0.5,2.36,1.58
2015Q4,11.34,0.55,2.65,1.76
2015Q3,10.65,0.55,2.75,1.76
2015Q2,9.91,0.43,2.1,1.4
2015Q1,11.99,0.49,2.3,1.58
2014Q4,11.35,0.55,2.68,1.81
2014Q3,10.64,0.62,3.12,2.04
2014Q2,9.81,0.4,2.0,1.33
