年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,27.67,1.88,8.9,4.68,1.0
2019,22.6,1.29,6.61,3.44,0.8
2018,21.01,1.24,6.49,3.49,0.8
2017,19.38,1.05,5.52,3.03,0.6
2016,18.03,1.05,5.75,3.18,0.6
2015,17.13,1.19,6.56,3.56,0.6
2014,15.59,1.17,6.63,3.28,0.6
2013,13.63,0.81,4.91,2.29,0.5
2012,12.45,1.09,6.81,3.33,0.5
2011,9.21,1.03,6.59,3.65,0.5
2010,8.23,1.21,8.06,5.08,0.7
2009,6.74,1.3,9.43,5.88,0.7
2008,3.45,0.21,1.61,0.99,0.2
2007,4.5,0.77,5.92,3.76,0.5
2006,4.59,0.85,5.92,3.71,0.7
2005,4.29,0.16,-0.54,-0.34,0.7
2004,8.52,3.01,20.22,11.56,0.5
2003,3.03,1.26,9.22,4.33,0.2
2002,-1.74,-0.42,-3.18,-1.44,0.0
2001,-1.14,-0.05,-3.77,-1.79,0.0
2000,-0.91,-0.19,-1.35,-0.69,0.0
