年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2020,12.91,4.69,15.59,11.73
2019,11.2,2.05,7.56,5.94
2018,10.68,0.91,3.77,3.05
2017,10.92,1.3,5.2,4.18
2016,11.23,1.94,7.59,5.98
2015,10.92,1.81,7.12,5.56
2014,10.59,1.58,6.06,4.54
2013,11.59,2.22,8.33,6.15
