年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,5.75,1.02,7.55,6.07,1.0
2019,5.06,0.71,5.72,4.48,0.6
2018,4.66,0.53,4.69,3.68,0.46
2017,4.87,0.44,3.52,2.79,0.4
2016,5.26,0.93,8.0,6.16,0.65
2015,4.51,0.67,4.74,3.37,0.5
2014,3.88,0.3,1.87,1.32,0.3
2013,4.0,0.32,1.79,1.33,0.35
2012,4.13,0.82,6.8,4.7,0.4
2011,-0.25,0.81,7.22,4.65,0.0
2010,-1.69,0.63,5.8,3.97,0.0
2009,-2.81,-0.24,-4.67,-3.49,0.0
2008,-2.39,-0.85,-10.28,-7.55,0.0
2007,-0.88,-0.2,-1.83,-1.29,0.0
2006,-0.54,0.51,4.64,3.28,0.0
2005,-1.44,-0.19,-1.44,-1.02,0.0
