年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,47.17,9.35,21.47,12.45,8.0
2019,37.61,8.66,21.34,13.58,5.0
2018,33.46,7.2,17.51,11.61,7.1
2017,28.74,6.18,15.05,10.09,6.0
2016,29.81,7.39,17.29,11.56,6.71
2015,33.89,10.9,25.2,17.04,9.51
2014,27.01,9.62,25.28,15.44,7.7
2013,23.67,8.02,26.83,14.69,7.69
2012,20.55,7.17,25.88,15.0,6.14
2011,18.93,6.92,27.09,16.02,6.05
2010,15.17,5.91,24.78,14.43,4.57
2009,14.01,5.8,26.84,16.03,5.17
2008,8.24,1.96,9.16,5.53,2.0
2007,15.18,7.86,35.51,20.11,5.97
2006,11.18,6.66,32.77,17.36,4.64
2005,8.25,4.85,28.6,14.75,3.74
2004,6.43,5.05,31.57,17.02,3.1
2003,6.25,5.5,33.21,18.23,3.7
2002,4.43,4.97,29.44,16.81,2.8
2001,3.18,6.29,24.95,14.98,2.2
