年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,20.93,0.04,0.2,0.17,0.1
2019,21.14,0.06,0.39,0.35,0.1
2018,21.37,0.12,0.77,0.7,0.1
2017,20.1,0.11,0.68,0.63,0.1
2016,20.07,0.19,2.4,2.23,0.1
2015,20.13,0.25,1.65,1.52,0.2
2014,19.84,0.25,1.62,1.49,0.2
2013,19.56,0.26,1.72,1.56,0.2
2012,18.67,0.12,0.83,0.73,0.1
2011,15.38,0.04,0.29,0.25,0.1
2010,15.72,0.09,0.61,0.53,0.1
2009,16.36,0.16,1.11,0.96,0.2
2008,15.62,0.01,0.09,0.08,0.0
2007,17.94,0.47,3.23,2.74,0.4
2006,17.06,0.12,0.83,0.7,0.3
2005,19.38,0.49,3.56,2.97,0.5
