年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,5.87,0.95,5.7,3.46,1.1
2019,6.02,1.14,6.8,4.22,1.11
2018,5.74,0.95,5.66,3.57,0.85
2017,5.44,0.86,4.85,3.17,1.5
2016,4.9,0.03,0.16,0.11,1.5
2015,7.09,2.66,13.78,9.8,2.24
2014,6.99,2.77,14.21,10.02,2.5
2013,7.53,3.77,18.97,13.56,3.3
2012,8.23,5.41,27.97,21.41,4.5
2011,8.0,5.51,31.16,25.75,4.99
2010,6.75,4.75,29.28,24.37,4.2
2009,5.17,3.42,23.87,20.03,3.1
2008,4.4,3.42,21.75,18.7,1.5
2007,5.16,4.86,32.84,28.23,4.0
2006,3.87,4.25,30.51,25.22,2.34
2005,2.4,2.51,19.47,16.29,1.96
2004,2.16,2.33,19.39,16.97,2.0
2003,1.96,2.64,20.78,18.3,0.88
2002,1.25,1.89,14.13,12.56,0.62
