年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,392.0,0.21,0.98,0.67,0.0
2019,394.1,0.61,2.58,1.86,0.3
2018,403.7,1.59,6.6,5.0,0.5
2017,352.3,2.55,10.72,7.7,0.0
2016,291.2,-0.81,-3.6,-2.47,0.0
2015,310.8,0.04,0.16,0.11,0.0
2014,310.1,0.13,0.55,0.4,0.0
2013,307.2,2.29,12.02,9.02,0.0
2012,121.4,0.69,4.35,3.17,0.5
2011,132.2,5.53,32.36,21.86,1.75
2010,58.86,3.52,24.66,14.29,1.0
2009,-4.37,1.15,9.81,4.83,0.0
2008,-25.02,-1.78,-14.79,-7.14,0.0
2007,31.65,1.7,13.07,6.16,0.0
2006,29.78,1.05,9.13,3.89,0.0
2005,12.0,0.71,6.26,2.55,0.0
