年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,75.63,3.99,15.6,8.23,2.7
2019,62.59,2.93,12.78,6.62,2.2
2018,55.41,2.75,10.98,5.8,1.5
2017,55.21,3.28,12.66,6.75,2.0
2016,43.85,3.01,12.99,6.58,1.5
2015,28.47,0.87,2.48,1.19,0.7
2014,29.92,1.7,5.16,2.5,1.0
2013,40.98,3.42,12.64,6.15,1.0
2012,29.73,1.47,6.74,3.33,1.2
2011,30.72,2.22,11.31,5.81,1.19
2010,28.42,2.36,10.58,5.74,1.19
2009,25.62,2.63,11.15,6.2,1.2
2008,21.8,2.17,9.66,5.04,1.2
2007,21.62,2.8,16.39,7.73,1.48
2006,16.91,2.28,15.13,6.62,0.99
2005,13.3,1.72,13.5,5.85,1.09
2004,8.61,0.34,2.12,0.91,0.31
2003,9.49,0.73,4.39,1.89,0.2
1995,5.68,1.04,7.93,4.58,0.5
1994,3.61,0.45,3.4,2.09,1.0
