年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,14.02,2.89,7.34,3.09,1.5
2019,10.44,1.02,7.8,3.29,1.0
2018,11.79,2.13,10.14,4.69,0.7
2017,8.19,2.52,10.84,5.68,0.7
2016,3.65,0.26,0.53,0.29,0.5
2015,5.07,1.71,9.67,5.19,0.6
2014,1.58,0.34,2.43,1.25,0.3
2013,2.32,0.72,4.8,2.31,0.1
2012,0.53,0.02,2.01,0.99,0.0
2011,-1.86,-0.79,-4.85,-2.72,0.0
2010,1.6,1.38,9.42,5.35,0.17
2009,-1.14,0.18,1.53,0.84,0.0
2008,-1.48,-0.62,-5.04,-2.92,0.0
2007,-10.96,0.0,-4.47,-2.2,0.0
2006,-11.05,-0.84,-9.84,-4.19,0.0
2005,-8.12,-0.39,-4.81,-2.25,0.0
2004,-6.77,-1.52,-15.09,-7.89,0.0
2003,-1.22,-0.08,-0.76,-0.39,0.0
2002,-0.71,-0.13,-1.18,-0.59,0.0
2001,-6.26,0.0,0.03,0.02,0.0
