年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,85.85,9.07,37.01,16.65,6.5
2019,70.03,8.91,42.89,19.07,6.19
2018,42.59,5.33,29.63,14.36,4.0
2017,36.06,4.68,27.64,14.09,4.13
2016,27.46,3.51,22.18,11.62,3.1
2015,19.19,2.19,14.82,8.0,1.96
2014,13.38,1.21,8.78,4.65,1.08
2013,11.68,1.06,7.83,4.09,0.91
2012,13.89,1.65,12.07,6.16,1.49
2011,10.58,1.66,12.22,6.24,1.47
2010,11.03,2.02,13.09,7.14,1.41
2009,6.55,1.23,8.77,5.17,1.1
2008,4.09,0.75,5.55,3.19,0.66
2007,-3.01,-0.48,-4.42,-2.29,0.0
2006,-4.71,0.04,0.15,0.08,0.0
2005,-3.02,-0.58,-4.54,-2.24,0.0
2004,-6.2,-1.14,-10.32,-4.98,0.0
2003,-27.93,-4.85,-28.09,-16.77,0.0
2002,15.88,2.13,10.15,6.7,1.04
2001,16.43,3.54,15.45,8.23,0.0
2000,9.05,2.43,10.69,5.09,0.0
1999,6.08,2.02,8.23,4.4,0.0
1998,3.23,1.14,4.36,2.43,0.0
1997,4.21,2.35,10.89,5.68,0.0
1996,4.42,4.25,24.91,13.45,0.0
1995,2.46,4.46,26.52,15.38,0.0
1994,1.52,2.21,18.36,9.09,0.0
