年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,17.04,-0.3,-1.53,-1.25,0.2
2019,17.95,0.16,0.8,0.66,0.2
2018,18.57,0.68,3.29,2.67,0.5
2017,19.56,0.85,4.09,3.32,0.8
2016,19.11,0.59,2.81,2.17,0.6
2015,19.16,0.79,3.55,2.68,0.6
2014,19.2,1.05,4.79,3.59,0.8
2013,19.15,1.47,6.58,4.93,1.0
2012,20.1,1.04,4.85,3.71,1.2
2011,19.42,2.71,12.12,9.0,2.0
2010,17.65,2.68,13.43,10.06,1.8
2009,13.82,0.52,2.58,1.94,0.7
2008,14.17,1.33,6.21,4.12,0.7
2007,14.41,2.45,11.63,7.69,0.2
2006,13.4,2.5,12.74,9.29,1.7
2005,12.38,3.13,15.81,11.87,0.5
2004,10.8,2.72,16.34,11.54,1.5
2003,10.93,4.13,19.15,12.14,1.5
2002,8.97,3.03,15.05,9.79,2.3
2001,7.29,2.12,11.13,7.89,1.5
2000,8.22,3.38,17.57,13.46,2.0
