年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,75.96,3.2,11.47,5.9,1.9
2019,72.29,2.3,8.56,4.52,2.2
2018,69.88,1.65,6.3,3.21,1.8
2017,71.33,2.76,9.78,4.47,2.0
2016,70.73,3.8,13.14,5.43,2.4
2015,66.45,4.53,15.62,6.07,2.7
2014,61.07,4.95,18.46,6.71,3.0
2013,51.58,4.19,17.63,6.26,2.5
2012,43.56,1.84,7.37,3.38,2.3
2011,63.69,3.61,13.89,8.12,2.2
2010,57.23,3.3,13.62,8.22,2.0
2009,49.9,2.5,10.7,6.66,1.5
2008,43.8,1.6,7.42,4.63,1.0
2007,42.34,2.02,9.92,6.32,1.0
2006,37.62,1.37,7.54,5.03,0.8
2005,36.32,1.32,7.63,5.2,1.0
2004,33.79,1.2,8.17,5.45,0.6
2003,32.34,1.4,7.8,5.2,0.8
2002,30.05,1.21,6.88,4.69,0.8
2001,27.82,0.98,5.71,4.09,0.6
2000,26.32,0.34,1.96,1.48,0.6
1999,30.03,1.4,7.86,5.81,1.2
1998,30.59,1.74,9.73,7.03,1.5
1997,34.43,1.96,10.02,7.24,1.5
