年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,10.09,0.23,1.73,1.28,0.3
2019,13.32,1.94,16.24,12.91,1.2
2018,6.54,0.17,0.72,0.54,0.15
2017,9.71,1.55,12.71,8.46,1.0
2016,-1.61,-2.15,-18.17,-12.17,0.0
2015,7.11,0.03,0.23,0.15,0.0
2014,7.27,-0.69,-5.06,-2.96,0.0
2013,9.97,-1.35,-9.43,-5.45,0.0
2012,16.04,0.27,1.66,1.1,0.2
2011,13.65,1.34,8.52,6.0,1.2
2010,13.44,1.33,8.79,6.53,1.28
2009,13.01,0.97,5.88,4.86,1.2
2008,11.61,0.63,2.18,1.82,0.6
2007,14.03,1.21,7.38,6.24,1.2
2006,13.34,1.69,11.07,9.18,1.0
2005,10.61,0.85,6.1,4.87,0.4
