季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,0.99,0.36,3.35,2.25
2020Q4,0.74,0.17,1.58,1.06
2020Q3,0.62,0.13,1.22,0.83
2020Q2,0.53,-0.58,-5.29,-3.7
2020Q1,0.93,-0.63,-5.43,-3.85
2019Q4,1.36,-0.1,-0.85,-0.58
2019Q3,1.42,0.09,0.85,0.58
2019Q2,1.34,0.06,0.45,0.3
2019Q1,1.81,-0.19,-1.53,-1.02
2018Q4,1.94,0.14,1.06,0.66
2018Q3,1.85,0.51,4.09,2.61
2018Q2,1.5,0.17,1.37,0.95
2018Q1,1.38,0.01,0.08,0.06
2017Q4,1.35,0.51,4.34,2.98
2017Q3,1.0,-0.07,-0.64,-0.45
2017Q2,1.05,-0.46,-3.78,-2.9
2017Q1,2.05,-0.79,-5.96,-4.7
2016Q4,2.59,0.09,0.61,0.48
2016Q3,2.54,0.01,0.05,0.04
2016Q2,2.54,0.32,2.29,1.76
2016Q1,3.0,0.77,5.5,4.31
2015Q4,2.47,0.7,5.22,4.14
2015Q3,1.98,0.02,0.16,0.13
2015Q2,1.97,-0.15,-1.1,-0.88
2015Q1,2.75,0.03,0.23,0.18
2014Q4,2.9,0.34,2.43,1.86
2014Q3,2.64,0.04,0.3,0.23
2014Q2,2.62,-0.1,-0.79,-0.59
