年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,1116.0,4.7,11.07,6.32,3.55
2019,1086.0,5.56,13.54,7.72,3.0
2018,999.2,3.54,9.77,5.66,2.8
2017,942.0,1.74,4.65,2.75,1.2
2016,916.0,1.26,3.17,1.84,0.9
2015,915.5,1.55,3.12,1.78,1.1
2014,948.6,2.98,6.93,4.0,2.2
2013,921.7,3.42,9.51,5.33,1.8
2012,459.6,1.57,5.69,3.01,1.7
2011,273.7,3.19,12.63,6.75,2.3
2010,237.2,2.5,9.3,5.01,1.9
2009,222.6,2.64,10.84,5.82,1.8
2008,204.9,2.52,9.74,5.49,1.8
2007,221.9,3.69,14.6,8.59,2.4
2006,183.9,2.85,12.54,7.11,1.5
2005,162.7,2.82,13.33,7.34,1.2
2004,144.3,2.97,14.92,7.76,1.2
2003,108.6,1.63,8.85,4.33,0.65
2002,86.17,0.57,3.4,1.66,0.5
2001,77.44,0.15,0.9,0.48,0.2
2000,81.24,0.09,0.5,0.31,0.25
1999,109.9,1.83,9.7,6.08,0.6
1998,102.0,1.7,8.48,5.23,0.3
1997,108.8,2.63,12.61,7.9,1.0
1996,93.9,2.29,11.67,7.37,0.8
1995,90.96,2.73,14.59,8.84,1.3
1994,88.42,3.36,16.8,9.92,1.5
