年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,-0.52,-0.48,-4.96,-2.16,0.0
2019,-0.25,-0.76,-7.37,-3.27,0.0
2018,0.18,-1.58,-13.76,-8.02,0.0
2017,1.08,0.04,0.29,0.23,0.0
2016,1.06,0.27,2.21,1.79,0.0
2015,1.42,0.32,2.46,2.0,0.0
2014,1.26,0.22,1.75,1.43,0.0
2013,1.14,0.32,2.56,2.05,0.0
2012,0.98,0.22,1.82,1.43,0.0
2011,0.5,0.05,0.38,0.3,0.0
2010,0.48,-0.28,-2.44,-1.97,0.0
2009,0.63,0.23,2.02,1.59,0.0
2008,0.51,0.11,0.99,0.75,0.0
2007,0.45,0.11,0.96,0.73,0.0
2006,0.39,-0.02,-0.17,-0.13,0.0
2005,0.85,0.05,0.37,0.3,0.0
