季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,1.03,0.41,3.09,0.87
2020Q4,0.9,0.67,5.24,1.54
2020Q3,0.7,0.04,0.34,0.1
2020Q2,0.68,0.49,3.73,1.07
2020Q1,1.21,0.54,3.88,1.24
2019Q4,1.05,0.99,7.59,2.62
2019Q3,0.75,0.31,2.56,0.85
2019Q2,0.65,0.57,4.82,1.49
2019Q1,0.48,1.02,9.24,2.95
2018Q4,0.16,0.51,4.5,1.54
2018Q3,0.021,-0.03,-0.28,-0.11
2018Q2,0.03,-0.26,-2.44,-1.15
2018Q1,0.32,-0.17,-1.5,-0.75
2017Q4,0.41,0.22,2.0,1.0
2017Q3,0.34,0.25,2.29,1.21
2017Q2,0.27,0.04,0.36,0.22
2017Q1,0.5,0.32,2.83,1.57
2016Q4,0.4,0.1,0.85,0.42
2016Q3,0.38,-0.19,-1.71,-0.88
2016Q2,0.43,0.57,4.96,2.68
2016Q1,0.46,0.45,3.97,2.23
2015Q4,0.32,0.82,6.48,3.86
2015Q3,-0.25,0.54,6.06,3.63
2015Q2,-0.43,0.4,3.72,1.77
2015Q1,-0.26,0.25,3.0,0.98
2014Q4,-0.3,0.77,9.95,3.07
2014Q3,-0.42,-0.03,-0.4,-0.15
2014Q2,-4.19,1.16,16.56,7.82
