季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,-2.04,-0.65,-16.58,-5.99
2020Q4,-1.95,-0.95,-18.92,-7.76
2020Q3,-1.84,-0.61,-10.61,-4.81
2020Q2,-1.77,-0.61,-10.18,-4.91
2020Q1,-1.7,-1.58,-27.45,-9.49
2019Q4,-1.55,-1.51,-25.95,-6.97
2019Q3,-2.28,-1.12,-27.78,-8.75
2019Q2,-2.08,-1.17,-22.29,-8.16
2019Q1,-1.88,-1.43,-22.56,-10.26
2018Q4,-1.63,-2.3,-28.13,-15.83
2018Q3,-1.24,-1.03,-12.2,-6.96
2018Q2,-1.06,-0.69,-7.46,-4.15
2018Q1,-0.95,-0.32,-4.07,-2.15
2017Q4,-0.9,-0.82,-8.92,-4.35
2017Q3,-0.77,-0.46,-5.26,-2.52
2017Q2,-0.7,-0.89,-8.41,-4.28
2017Q1,-0.55,-1.9,-14.76,-8.21
2016Q4,-0.25,-1.23,-8.87,-5.21
2016Q3,-0.054,-0.45,-2.94,-1.69
2016Q2,0.018,-0.44,-2.66,-1.64
2016Q1,0.32,-0.5,-2.79,-1.92
2015Q4,0.4,-0.55,-3.19,-2.09
2015Q3,0.48,0.68,4.85,2.78
2015Q2,0.38,0.92,6.39,3.71
2015Q1,0.86,0.9,5.0,3.21
2014Q4,0.76,0.51,2.93,1.89
2014Q3,0.69,2.0,15.15,8.89
2014Q2,0.41,1.28,8.6,5.03
