季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,15.1,4.85,4.53,2.48
2020Q4,13.72,3.93,3.95,2.14
2020Q3,12.58,4.06,4.26,2.24
2020Q2,10.91,3.55,3.75,1.99
2020Q1,12.24,2.38,2.46,1.38
2019Q4,11.56,3.17,3.27,1.83
2019Q3,10.69,3.29,3.58,1.88
2019Q2,9.78,2.54,2.77,1.43
2019Q1,11.42,2.35,2.69,1.41
2018Q4,10.81,2.65,3.1,1.6
2018Q3,10.16,2.83,3.3,1.66
2018Q2,9.46,3.39,3.76,1.94
2018Q1,11.1,2.42,2.58,1.42
2017Q4,10.5,1.29,1.38,0.76
2017Q3,10.14,4.85,5.25,2.68
2017Q2,8.95,6.18,6.78,3.39
2017Q1,9.89,2.9,3.42,1.72
2016Q4,9.17,6.36,8.17,3.91
2016Q3,7.62,2.8,3.98,1.73
2016Q2,6.93,2.98,4.37,1.97
2016Q1,9.16,3.76,5.31,2.75
2015Q4,8.23,5.9,8.96,4.5
2015Q3,6.79,4.92,8.28,3.87
2015Q2,5.58,2.67,4.49,2.18
2015Q1,6.77,2.93,4.86,2.61
2014Q4,6.05,5.11,9.07,4.71
2014Q3,4.79,2.83,5.4,2.57
2014Q2,4.1,0.96,1.7,0.91
