年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,38.48,1.76,5.53,3.21,0.7
2019,37.13,4.33,14.59,8.4,1.1
2018,29.23,1.23,4.46,2.5,0.5
2017,28.68,1.6,5.94,3.27,0.5
2016,26.41,2.19,8.83,4.61,0.5
2015,22.12,0.26,1.12,0.56,0.0
2014,21.66,1.06,4.69,2.31,0.0
2013,19.61,-2.84,-12.52,-6.09,0.0
2012,25.38,0.09,0.33,0.15,0.0
2011,-0.54,-0.62,-3.71,-1.52,0.0
2010,1.04,0.78,4.46,2.06,0.15
2009,-0.55,0.22,1.32,0.68,0.0
2008,-1.01,-1.24,-7.16,-3.57,0.0
2007,2.06,1.04,6.15,2.92,0.2
2006,-0.42,1.93,11.93,4.98,0.0
2005,-3.77,-2.49,-15.47,-6.59,0.0
2004,0.14,0.99,5.54,2.8,0.0
2003,-1.39,-1.36,-8.83,-4.69,0.0
2002,0.45,0.4,3.07,1.76,0.0
2001,-1.27,-0.85,-6.69,-4.2,0.0
1996,2.33,0.39,2.47,1.93,0.0
1995,1.83,0.41,2.42,1.86,0.0
1994,1.52,0.08,0.47,0.36,0.0
