季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,801.1,2.08,5.81,0.44
2020Q4,709.9,0.15,0.43,0.03
2020Q3,706.7,1.53,4.68,0.33
2020Q2,638.9,0.79,2.98,0.17
2020Q1,657.0,0.94,3.71,0.22
2019Q4,612.4,0.15,0.46,0.03
2019Q3,611.2,1.32,4.12,0.29
2019Q2,557.1,1.15,4.01,0.25
2019Q1,510.6,0.7,3.21,0.16
2018Q4,482.4,-0.08,-0.39,-0.02
2018Q3,484.8,1.06,4.93,0.26
2018Q2,447.1,0.64,2.99,0.16
2018Q1,474.9,0.92,3.94,0.25
2017Q4,440.8,0.39,1.63,0.1
2017Q3,426.2,1.31,6.13,0.37
2017Q2,373.6,0.61,2.79,0.17
2017Q1,409.6,0.01,0.04,0.0
2016Q4,409.3,0.12,0.45,0.03
2016Q3,404.9,0.91,3.34,0.25
2016Q2,373.4,0.97,3.48,0.26
2016Q1,374.6,0.81,3.08,0.22
2015Q4,347.6,-0.32,-1.36,-0.09
2015Q3,358.3,1.3,6.0,0.39
2015Q2,313.1,0.72,3.02,0.21
2015Q1,310.2,1.09,4.22,0.3
2014Q4,277.3,0.3,1.34,0.08
2014Q3,268.2,0.84,4.44,0.27
2014Q2,240.3,0.41,1.9,0.12
