季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,10.55,1.0,2.33,1.59
2020Q4,9.82,1.12,2.7,1.77
2020Q3,9.03,1.5,3.39,2.08
2020Q2,9.47,1.48,4.16,2.47
2020Q1,10.49,1.3,3.61,2.26
2019Q4,9.61,1.14,3.74,2.54
2019Q3,8.84,1.4,4.28,2.92
2019Q2,7.9,0.74,2.06,1.44
2019Q1,9.76,1.01,2.72,1.88
2018Q4,9.08,1.53,4.18,2.71
2018Q3,8.08,1.54,4.42,3.02
2018Q2,7.03,1.16,4.11,2.81
2018Q1,8.65,1.21,5.14,3.01
2017Q4,7.92,1.54,6.67,3.73
2017Q3,7.0,1.57,7.27,3.97
2017Q2,6.06,1.25,5.67,3.3
2017Q1,8.31,1.25,5.32,3.31
2016Q4,7.56,1.27,5.67,3.55
2016Q3,6.8,1.33,6.3,3.96
2016Q2,6.0,4.07,19.77,11.94
2015Q4,6.31,6.08,28.54,15.93
2015Q2,4.28,1.33,,
2014Q4,4.46,,,
2014Q2,3.14,,,
2013Q4,3.38,,,
2013Q2,2.5,,,
2012Q4,2.74,,,
2012Q2,1.66,,,
