季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,-10.94,-0.14,-4.95,-0.57
2020Q4,-10.73,0.05,1.76,0.2
2020Q3,-10.8,-0.04,-1.4,-0.16
2020Q2,-10.75,-0.02,-0.67,-0.08
2020Q1,-10.72,-0.17,-6.02,-0.71
2019Q4,-10.46,-0.24,-8.08,-0.99
2019Q3,-10.12,-0.13,-3.96,-0.51
2019Q2,-9.94,-0.23,-6.87,-0.93
2019Q1,-9.59,-0.34,-9.35,-1.36
2018Q4,-9.08,-0.05,-1.24,-0.19
2018Q3,-9.07,-0.35,-8.54,-1.39
2018Q2,-8.53,-0.41,-9.06,-1.6
2018Q1,-7.92,-0.46,-9.78,-1.78
2017Q4,-8.37,-0.31,-5.48,-1.01
2017Q3,-8.0,-0.63,-12.21,-2.44
2017Q2,-7.05,-0.81,-16.75,-2.64
2017Q1,-2.96,-0.27,-4.38,-0.46
2016Q4,-2.77,-1.32,-19.16,-2.23
2016Q3,-8.11,-0.49,-11.52,-1.54
2016Q2,-7.46,-0.45,-9.63,-1.41
2016Q1,-6.86,-0.45,-8.67,-1.37
2015Q4,-6.26,-0.15,-2.78,-0.45
2015Q3,-6.18,-0.4,-7.1,-1.19
2015Q2,-5.64,-0.65,-10.36,-1.9
2015Q1,-4.78,-1.04,-14.61,-3.01
2014Q4,-3.41,-0.44,-5.58,-1.26
2014Q3,-2.83,-0.49,-5.83,-1.39
2014Q2,-2.18,-0.28,-3.27,-0.82
