年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,53.29,2.05,6.18,3.97,0.5
2019,50.89,1.46,4.64,2.92,0.5
2018,49.61,0.82,2.61,1.69,0.5
2017,48.86,1.77,5.71,3.66,1.0
2016,46.96,1.88,5.91,3.66,0.5
2015,45.51,1.96,8.26,5.25,0.5
2014,41.19,0.88,4.72,2.95,0.0
2013,38.75,0.87,4.94,3.07,0.0
2012,36.37,1.36,8.36,5.17,0.0
2011,-4.66,0.53,3.36,2.0,0.0
2010,-6.16,0.93,6.09,3.56,0.0
2009,-8.79,1.58,11.79,6.13,0.0
2008,-13.29,0.74,5.99,2.82,0.0
2007,-15.38,0.55,4.41,2.04,0.0
2006,-16.93,0.21,1.74,0.78,0.0
2005,-17.52,0.18,1.49,0.66,0.0
