年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,279.4,1.81,5.89,3.72,1.15
2019,263.9,1.65,5.86,3.68,0.99
2018,252.2,1.59,5.97,3.78,0.9
2017,224.7,1.56,6.24,3.84,0.86
2016,211.9,1.76,7.53,4.57,0.88
2015,193.6,1.6,6.71,4.2,0.8
2014,184.4,2.06,8.8,5.52,1.1
2013,166.1,2.01,9.71,5.6,1.1
2012,147.7,1.69,8.53,4.67,1.0
2011,104.1,1.54,7.61,4.24,0.9
2010,90.98,1.38,7.34,4.17,0.8
2009,76.09,1.09,5.5,3.0,0.55
2008,65.63,1.0,5.06,2.74,0.5
2007,69.1,1.46,7.24,4.08,1.0
2006,57.94,1.26,6.55,3.56,0.7
2005,48.49,0.97,5.7,2.97,0.6
2004,30.19,-0.21,-1.25,-0.65,0.0
2003,44.83,0.23,1.32,0.67,0.5
2002,50.65,0.29,1.69,0.85,0.5
2001,44.7,0.05,0.31,0.16,0.0
2000,57.54,0.73,4.15,2.17,0.1
1999,68.85,1.69,8.52,4.98,0.8
1998,65.06,1.35,6.82,4.19,1.0
1997,72.48,2.41,11.61,6.7,0.0
1996,65.84,2.55,12.63,6.57,0.0
1995,62.66,2.89,14.55,7.55,1.2
1994,59.11,3.08,16.14,8.18,1.2
