年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,65.56,1.62,9.38,4.78,1.0
2019,44.01,-0.11,-0.7,-0.31,0.2
2018,51.91,0.59,3.67,1.66,0.2
2017,60.39,2.02,11.81,5.75,1.0
2016,46.64,0.96,5.98,2.97,0.6
2015,38.3,-0.15,-0.94,-0.43,0.2
2014,42.57,-0.21,-1.29,-0.55,0.2
2013,50.48,0.52,3.2,1.36,0.4
2012,55.82,1.08,6.79,2.96,0.8
2011,49.97,1.0,5.81,2.79,0.5
2010,60.35,2.66,15.79,8.16,1.98
2009,43.49,1.74,10.0,5.17,0.8
2008,30.97,0.06,0.57,0.3,0.2
2007,42.39,2.47,13.99,7.48,1.0
2006,32.5,2.36,14.91,7.95,0.6
2005,20.12,0.92,6.31,3.72,0.41
2004,19.33,1.18,6.44,4.11,0.4
2003,13.83,0.61,4.54,2.9,0.4
2002,12.31,0.8,6.1,3.69,0.2
2001,6.5,0.01,0.08,0.04,0.0
2000,8.52,0.36,2.82,1.58,0.0
1999,12.59,1.18,9.38,5.3,0.2
1998,8.05,0.35,2.76,1.52,0.1
1997,6.29,-0.16,-1.24,-0.69,0.0
1996,11.48,1.38,9.82,6.15,0.2
1995,12.01,2.33,15.75,10.9,0.3
1994,11.28,2.53,18.43,12.55,0.2
