年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,29.37,8.08,30.15,21.76,6.0
2019,24.44,6.09,24.75,17.72,5.0
2018,22.64,5.67,23.85,16.96,5.0
2017,21.48,5.11,21.8,15.18,5.0
2016,21.36,5.58,24.03,17.42,5.0
2015,20.4,5.7,25.3,18.89,5.0
2014,19.14,6.17,29.42,21.85,5.0
2013,15.31,4.42,23.24,16.52,3.8
2012,12.98,2.8,15.29,10.92,2.8
2011,14.23,3.67,19.84,14.83,3.0
2010,13.96,4.19,23.24,16.66,3.5
2009,12.06,3.68,21.74,14.86,3.0
2008,10.01,2.93,17.99,11.92,2.4
2007,9.66,3.21,20.57,13.07,2.6
2006,7.86,2.39,16.17,9.66,2.0
2005,6.71,2.06,14.65,8.68,1.6
2004,5.41,1.4,10.22,5.72,1.2
2003,5.84,1.88,13.64,7.85,1.6
2002,5.85,2.15,15.5,9.84,1.8
