年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,37.21,3.84,14.89,4.05,2.0
2019,33.74,3.9,15.94,4.41,2.0
2018,31.88,4.09,17.32,4.77,2.7
2017,29.04,4.01,17.17,4.85,2.7
2016,29.1,4.86,20.77,6.33,2.81
2015,25.08,4.49,21.36,6.59,2.6
2014,20.41,3.82,20.42,6.69,2.1
2013,16.92,3.44,21.05,7.26,2.0
2012,11.53,1.73,11.63,3.97,1.0
2011,4.25,1.4,10.19,3.72,0.55
2010,5.18,2.12,17.36,6.68,1.4
2009,0.67,1.54,16.46,5.6,0.0
2008,-3.08,0.05,2.36,0.7,0.0
2007,-3.2,0.08,2.9,0.97,0.0
2006,-1.41,-0.58,-2.21,-0.85,0.0
2005,-0.4,-0.17,-0.08,-0.03,0.0
