年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,20.98,4.5,22.8,10.0,3.6
2019,16.65,7.01,42.4,18.29,3.0
2018,6.95,2.2,15.91,5.96,2.0
2017,6.33,1.49,11.29,4.59,1.2
2016,4.97,0.58,4.33,1.86,0.5
2015,4.89,0.7,5.32,2.25,0.5
2014,3.63,0.81,6.13,2.65,0.0
2013,3.22,1.14,9.41,4.0,0.5
2012,1.16,0.35,3.25,1.31,0.0
2011,-4.73,-0.52,-5.76,-2.47,0.0
2010,-3.55,0.36,3.53,1.57,0.0
2009,-4.38,0.64,7.13,2.78,0.0
2008,-7.64,-3.45,-34.36,-13.17,0.0
2007,0.25,-0.27,-2.34,-0.94,0.0
2006,1.18,0.12,-0.2,-0.08,0.0
2005,0.9,-0.81,-7.11,-3.02,0.0
2004,4.94,0.71,5.48,2.41,0.6
2003,4.53,0.7,5.68,2.57,0.4
2002,4.22,0.69,5.65,2.55,0.4
2001,2.51,0.03,0.22,0.1,0.0
2000,3.06,0.28,2.25,0.97,0.2
