年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,-4.66,0.45,8.55,3.75,0.0
2019,-5.69,-0.1,-2.02,-1.78,0.0
2018,-5.59,-0.12,-2.24,-1.98,0.0
2017,-5.69,-0.05,-1.03,-0.91,0.0
2016,-5.63,-0.07,-1.29,-1.14,0.0
2015,-5.56,0.11,2.02,1.79,0.0
2014,-5.67,0.04,0.68,0.6,0.0
2013,-5.71,0.29,5.73,5.0,0.0
2012,-6.01,0.1,1.99,1.72,0.0
2006,-11.0,-0.54,-27.24,-5.61,0.0
2005,-10.45,-0.63,-26.48,-5.83,0.0
1999,0.16,0.22,2.54,1.2,0.0
1998,-3.27,-3.61,-35.83,-16.27,0.0
1997,0.17,0.26,1.98,1.03,0.0
1996,0.13,0.19,1.45,0.96,0.0
