年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,5.99,-0.28,-1.45,-0.48,0.0
2019,6.7,1.07,5.22,2.16,0.8
2018,7.18,5.07,26.88,10.48,1.8
2017,4.46,1.17,6.92,2.41,1.0
2016,4.49,2.95,18.43,6.32,1.2
2015,3.38,3.42,24.58,9.11,1.2
2014,1.74,2.01,17.25,7.2,0.89
2013,0.44,1.38,13.87,5.34,0.0
2012,-0.47,-0.23,-2.4,-0.94,0.0
2011,-0.42,-0.48,-4.79,-2.06,0.0
2010,-0.56,-0.86,-8.08,-3.76,0.0
2009,-0.29,-0.96,-8.29,-4.02,0.0
2008,0.34,-0.56,-4.61,-2.02,0.0
2007,0.9,1.21,10.19,4.1,0.15
2006,0.14,0.17,1.53,0.64,0.0
2005,0.031,-2.91,-23.23,-10.64,0.0
2004,2.0,0.38,1.48,0.68,0.15
2003,2.13,0.78,3.88,2.07,0.4
2002,2.17,0.82,5.62,3.67,0.6
