年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,-3.92,-1.46,-14.16,-1.99,0.0
2019,-10.66,-0.7,-14.54,-1.79,0.0
2018,-9.71,-0.85,-18.6,-2.89,0.0
2017,-9.12,0.47,6.12,1.07,0.0
2016,-9.68,-1.56,-18.04,-3.46,0.0
2015,-7.81,-2.25,-21.76,-5.18,0.0
2014,-4.53,0.46,-0.5,-0.13,0.0
2013,-21.51,-0.67,-17.45,-3.13,0.0
2012,-18.82,-0.76,-35.21,-3.26,0.0
2011,-12.81,-1.3,-41.94,-4.79,0.0
2010,-10.34,-1.98,-32.76,-5.69,0.0
2009,-7.35,-3.0,-36.64,-8.19,0.0
2008,-9.41,-3.97,-29.59,-7.79,0.0
2007,-18.69,-1.67,-15.53,-4.46,0.0
2006,-13.56,-1.81,-17.65,-5.37,0.0
2005,-9.74,-3.15,-27.84,-10.31,0.0
2004,-21.49,-1.62,-20.33,-8.19,0.0
2003,-12.7,-0.21,-2.4,-0.86,0.0
2002,-11.62,-1.03,-10.09,-3.94,0.0
2001,-6.57,-0.4,-4.73,-2.07,0.0
2000,-1.84,-0.48,-5.87,-2.6,0.0
