年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,-5.75,0.26,3.7,1.66,0.0
2019,-6.12,0.31,4.64,2.05,0.0
2018,-6.62,0.24,3.92,1.7,0.0
2017,-7.02,-0.59,-9.61,-4.33,0.0
2016,-6.09,-0.25,-3.95,-1.87,0.0
2015,-5.7,-0.33,-4.97,-2.44,0.0
2014,-5.17,-0.36,-5.22,-2.68,0.0
2013,-4.57,-0.3,-3.72,-1.99,0.0
2012,-4.1,-1.55,-18.0,-10.07,0.0
2011,-3.56,1.26,11.9,6.18,0.0
2010,-5.59,-1.62,-17.34,-8.73,0.0
2009,-2.99,-1.37,-12.92,-7.22,0.0
2008,-0.79,-0.99,-8.84,-5.12,0.0
2007,0.8,-0.37,-3.02,-1.79,0.0
2006,1.4,-0.62,-5.07,-3.18,0.0
2005,2.4,0.02,0.18,0.12,0.0
2004,2.36,-0.45,-3.82,-2.51,0.0
2003,3.09,0.05,0.42,0.28,0.0
2002,3.25,0.21,1.68,1.2,0.15
2001,3.41,0.35,2.79,2.04,0.3
