年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2020,0.17,-0.45,-4.09,-1.69
2019,0.34,0.83,7.56,3.99
2018,0.22,0.33,3.09,2.17
2017,0.14,0.04,0.41,0.67
2016,0.27,0.91,8.5,4.74
2015,0.15,0.72,7.07,3.78
2014,-1.01,0.35,5.19,2.87
2013,-1.11,0.06,0.9,1.35
