年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,1.95,-1.26,-11.24,-6.39,0.0
2019,3.58,0.3,2.12,1.23,0.2
2018,3.95,0.9,6.64,3.81,0.6
2017,3.64,0.84,6.53,3.83,0.6
2016,3.39,0.88,6.82,4.25,0.6
2015,3.01,0.9,7.0,4.44,0.5
2014,3.14,1.05,8.25,5.41,0.5
2013,3.07,1.09,8.39,5.54,0.5
2012,3.01,1.21,9.17,5.57,0.4
2011,2.91,1.44,10.02,5.9,0.43
2010,2.82,1.64,11.94,7.92,0.45
2009,2.14,0.77,5.55,3.84,0.29
2008,2.13,1.54,11.61,7.45,0.2
2007,1.42,0.51,3.95,2.69,0.23
2006,1.43,0.57,4.71,3.31,0.22
2005,1.59,0.93,7.32,5.02,0.2
