季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,3.33,0.52,4.3,1.15
2020Q4,2.68,0.69,5.94,1.63
2020Q3,1.81,0.47,4.21,1.2
2020Q2,1.22,0.23,1.93,0.57
2020Q1,2.37,0.2,1.76,0.53
2019Q4,2.12,0.28,2.4,0.72
2019Q3,1.78,0.39,3.38,1.07
2019Q2,1.32,0.45,3.65,1.29
2019Q1,2.26,0.21,1.88,0.67
2018Q4,2.03,0.23,1.86,0.65
2018Q3,1.95,0.32,2.74,1.0
2018Q2,1.6,0.38,3.38,1.28
2018Q1,1.31,0.36,3.22,1.15
2017Q4,0.75,0.31,2.79,0.89
2017Q3,-2.5,0.45,4.19,1.37
2017Q2,-2.95,-2.37,-23.08,-9.73
2017Q1,-0.23,0.09,0.57,0.27
2016Q4,-0.32,0.0,-0.01,0.0
2016Q3,-0.31,0.12,1.78,0.76
2016Q2,-0.46,0.27,2.03,0.83
2016Q1,-0.79,0.1,0.14,0.05
2015Q4,-0.9,-1.87,-17.36,-5.73
2015Q3,1.14,-0.37,-4.93,-1.5
2015Q2,1.54,-0.48,-4.4,-1.2
2015Q1,3.33,-0.11,-1.99,-0.55
2014Q4,3.44,0.5,2.5,0.68
2014Q3,2.96,0.55,4.34,1.16
2014Q2,2.47,-0.17,-2.3,-0.64
