年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,2.43,0.22,1.68,1.33,0.3
2019,2.48,0.04,0.32,0.25,0.3
2018,2.67,0.02,0.12,0.09,0.3
2017,2.83,0.8,5.95,4.41,0.3
2016,2.56,0.86,6.53,4.91,0.4
2015,2.23,0.77,5.94,4.42,0.4
2014,1.89,0.57,4.35,3.2,0.3
2013,2.58,0.58,4.35,3.24,1.3
2012,2.41,0.46,3.38,2.62,0.4
2011,2.53,0.95,7.06,5.41,0.6
2010,2.12,0.8,6.11,4.44,0.4
2009,1.96,1.07,8.45,6.28,0.6
2008,1.23,0.49,4.07,3.07,0.1
2007,0.87,-0.45,-3.84,-2.78,0.0
2006,1.29,-0.14,-1.21,-0.84,0.12
2005,1.79,0.5,4.03,2.76,0.2
2004,1.87,0.4,3.14,2.24,0.6
2003,2.32,0.96,7.39,5.26,0.5
2002,2.49,1.2,8.52,5.91,0.2
