年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,22.11,0.84,4.23,1.24,0.6
2019,23.96,2.23,10.56,3.16,1.4
2018,20.83,2.0,9.24,2.91,1.3
2017,19.43,2.12,9.62,3.22,1.6
2016,19.22,3.17,15.64,5.51,2.0
2015,14.22,2.43,13.58,4.81,1.5
2014,10.05,1.64,10.36,3.37,1.0
2013,4.89,0.2,3.54,1.09,0.0
2012,4.16,-0.56,-1.99,-0.66,0.0
2011,7.43,0.15,1.94,0.7,0.1
2010,7.88,0.42,3.83,1.4,0.0
2009,10.74,2.0,10.69,3.97,0.5
2008,6.83,0.72,3.72,1.36,0.3
2007,7.24,1.8,9.8,3.35,0.41
2006,3.4,0.34,-2.62,-0.85,0.15
2005,2.57,-1.26,-8.32,-2.75,0.0
2004,8.96,2.08,11.03,4.06,0.3
2003,9.39,2.93,14.03,6.06,1.25
2002,10.29,4.04,20.0,9.18,3.0
2001,5.33,1.68,8.79,3.77,0.8
2000,2.98,0.52,2.77,1.14,0.0
