季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,31.3,0.03,0.14,0.08
2020Q4,31.94,-0.06,-0.31,-0.18
2020Q3,32.15,0.13,0.57,0.32
2020Q2,31.77,0.07,0.32,0.19
2020Q1,35.46,0.43,2.12,1.24
2019Q4,34.02,1.04,4.76,2.67
2019Q3,30.9,1.19,5.75,3.05
2019Q2,27.32,1.38,6.62,3.34
2019Q1,25.39,1.88,9.68,4.53
2018Q4,20.11,0.73,4.03,1.78
2018Q3,18.06,0.22,1.35,0.6
2018Q2,17.39,0.07,0.4,0.18
2018Q1,20.72,0.2,1.09,0.5
2017Q4,20.17,0.97,5.19,2.33
2017Q3,17.64,0.18,1.07,0.48
2017Q2,17.13,0.01,0.03,0.01
2017Q1,17.12,0.35,1.9,0.88
2016Q4,16.21,0.38,2.12,0.98
2016Q3,15.21,0.12,0.71,0.32
2016Q2,14.88,0.36,2.0,0.9
2016Q1,16.63,0.67,3.73,1.64
2015Q4,14.87,1.15,6.3,2.53
2015Q3,12.2,1.52,9.68,3.22
2015Q2,8.18,0.17,1.04,0.29
2015Q1,8.83,0.1,0.64,0.17
2014Q4,8.61,0.4,2.54,0.69
2014Q3,7.87,-0.08,-0.49,-0.13
2014Q2,8.02,-0.35,-2.02,-0.64
