年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,27.18,1.68,15.91,9.98,0.7
2019,10.28,0.02,2.53,1.46,0.0
2018,12.0,0.26,3.01,1.67,0.15
2017,10.33,0.34,2.76,1.46,0.3
2016,10.37,0.42,6.37,3.16,0.0
2015,9.54,0.37,-0.62,-0.24,0.0
2014,6.06,-0.42,-7.34,-2.62,0.0
2013,14.57,0.53,2.16,0.88,0.0
2012,15.77,0.68,5.46,2.45,0.2
2011,19.61,1.53,12.8,5.95,0.0
2010,16.26,1.74,14.52,6.5,0.0
2009,11.47,1.75,13.78,5.78,0.0
2008,4.01,0.93,7.89,2.78,0.0
2007,-1.41,0.08,3.35,1.1,0.0
2006,-2.27,0.34,4.37,1.51,0.0
2005,-3.96,-1.47,-9.97,-4.04,0.0
2004,4.88,-0.38,-1.33,-0.64,0.0
2003,13.7,1.4,9.17,4.92,0.52
2002,11.19,1.27,9.23,4.7,0.2
2001,9.4,1.14,9.88,4.48,0.3
2000,6.81,0.92,7.52,3.61,0.0
