年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,1.41,-0.44,-3.54,-2.9,0.2
2019,1.89,-0.3,-2.35,-1.94,0.2
2018,2.34,-0.17,-1.33,-1.11,0.2
2017,2.73,0.09,0.66,0.55,0.2
2016,3.17,0.45,3.27,2.72,0.3
2015,3.35,0.65,4.7,3.93,0.5
2014,2.94,0.21,1.53,1.27,0.3
2013,3.44,0.47,3.41,2.8,0.5
2012,3.23,0.19,1.37,1.12,0.3
2011,1.67,0.75,5.4,4.48,0.5
2010,1.33,0.79,5.95,5.0,0.5
2009,0.5,0.3,2.4,2.01,0.2
2008,0.36,0.18,1.46,1.15,0.21
2007,0.75,-0.2,-1.7,-1.24,0.4
2006,1.07,-0.09,-0.83,-0.6,0.0
2005,1.22,-0.24,-2.19,-1.57,0.0
1997,4.33,2.04,17.68,14.01,0.0
1996,2.73,0.76,6.54,5.15,0.0
