季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,20.04,-0.48,-1.35,-1.31
2020Q4,20.77,-0.77,-2.15,-2.08
2020Q3,21.95,-0.66,-1.81,-1.75
2020Q2,22.95,-0.54,-1.48,-1.43
2020Q1,23.78,-0.58,-1.53,-1.48
2019Q4,24.67,-1.47,-3.74,-3.58
2019Q3,26.91,-0.68,-1.65,-1.58
2019Q2,27.96,-0.52,-1.1,-1.05
2019Q1,30.35,-0.27,-0.56,-0.54
2018Q4,30.72,-0.5,-1.05,-1.01
2018Q3,31.41,0.19,0.43,0.41
2018Q2,31.13,0.73,1.5,1.42
2018Q1,31.75,0.53,1.1,1.05
2017Q4,31.02,1.72,3.36,3.13
2017Q3,28.84,2.21,4.53,4.13
2017Q2,26.05,2.13,4.16,3.85
2017Q1,26.13,0.81,1.6,1.5
2016Q4,25.2,1.62,3.15,2.89
2016Q3,23.34,2.18,4.3,3.84
2016Q2,20.83,2.37,4.7,4.19
2016Q1,19.26,1.51,3.03,2.72
2015Q4,17.52,1.94,3.96,3.51
2015Q3,15.29,2.3,4.91,4.3
2015Q2,12.65,2.51,4.3,3.81
2015Q1,14.85,1.74,3.0,2.69
2014Q4,13.31,3.1,5.62,4.98
2014Q3,10.59,2.76,5.48,4.69
2014Q2,8.14,2.83,5.2,4.51
