季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,-3.57,-0.1,-4.65,-1.9
2020Q4,-3.52,-1.25,-53.25,-22.75
2020Q3,-2.91,-0.13,-4.16,-1.9
2020Q2,-2.85,-0.54,-15.85,-6.88
2020Q1,-2.59,-0.7,-17.4,-7.82
2019Q4,-2.25,-1.52,-29.72,-14.35
2019Q3,-1.51,-0.76,-12.2,-6.48
2019Q2,-1.14,-0.55,-8.03,-4.96
2019Q1,-1.67,-0.71,-9.37,-6.3
2018Q4,-1.32,-1.59,-17.35,-9.98
2018Q3,-0.54,-1.14,-10.29,-5.75
2018Q2,0.027,0.03,0.29,0.17
2018Q1,0.01,-0.04,-0.33,-0.19
2017Q4,0.026,0.08,0.74,0.43
2017Q3,-0.017,-0.05,-0.44,-0.25
2017Q2,0.009,0.05,0.46,0.27
2017Q1,-0.062,-0.04,-0.31,-0.18
2016Q4,-0.044,-0.19,-1.63,-0.97
2016Q3,0.051,-0.03,-0.22,-0.13
2016Q2,0.064,-0.59,-4.84,-2.93
2016Q1,0.51,-0.12,-0.93,-0.57
2015Q4,0.57,0.58,4.65,2.52
2015Q3,0.28,-0.04,-0.33,-0.16
2015Q2,0.3,-0.02,-0.17,-0.09
2015Q1,0.31,-0.11,-0.79,-0.46
2014Q4,0.36,-0.03,-0.22,-0.13
2014Q3,0.37,-0.15,-1.06,-0.62
2014Q2,0.44,0.03,0.22,0.13
