年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,27.43,2.94,10.18,8.39,2.35
2019,25.07,4.15,14.88,5.89,1.2
2018,24.87,7.48,30.3,7.17,4.0
2017,21.86,1.48,6.11,1.37,1.4
2016,25.49,6.88,26.28,6.23,4.1
2015,20.84,6.75,29.58,7.11,3.3
2014,15.55,6.31,32.87,7.58,3.0
2013,12.77,3.43,20.95,4.48,4.5
2012,8.23,0.38,2.37,0.56,0.5
2011,11.42,2.38,15.75,3.99,1.83
2010,7.64,0.04,0.3,0.08,0.0
2009,12.72,0.96,6.49,1.81,1.33
2008,14.06,0.55,3.26,1.04,1.23
2007,18.36,3.36,17.15,7.13,2.32
2006,18.45,3.88,20.81,10.19,3.0
2005,17.89,5.85,26.95,13.06,2.13
