季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,10.35,0.08,0.56,0.39
2020Q4,10.15,0.06,0.39,0.27
2020Q3,9.95,0.22,1.59,1.09
2020Q2,9.4,0.08,0.63,0.43
2020Q1,9.59,-0.1,-0.71,-0.48
2019Q4,9.79,0.23,1.61,1.08
2019Q3,9.34,0.03,0.19,0.13
2019Q2,9.27,-0.03,-0.23,-0.15
2019Q1,9.76,-0.05,-0.38,-0.26
2018Q4,9.87,0.01,0.05,0.04
2018Q3,9.95,0.1,0.69,0.48
2018Q2,9.68,0.05,0.33,0.23
2018Q1,10.23,0.02,0.17,0.12
2017Q4,10.14,-0.08,-0.55,-0.38
2017Q3,10.28,0.47,3.36,2.24
2017Q2,9.25,0.03,0.21,0.14
2017Q1,9.62,-0.02,-0.11,-0.07
2016Q4,9.66,0.01,0.15,0.1
2016Q3,9.6,-0.01,-0.06,-0.04
2016Q2,9.62,-0.01,-0.05,-0.03
2016Q1,10.07,-0.02,-0.14,-0.09
2015Q4,10.11,0.06,0.51,0.33
2015Q3,9.93,0.06,0.4,0.25
2015Q2,9.81,-0.02,-0.14,-0.09
2015Q1,10.51,-0.07,-0.52,-0.34
2014Q4,10.68,0.12,0.83,0.57
2014Q3,10.42,-0.05,-0.32,-0.22
2014Q2,10.52,0.03,0.26,0.18
