年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,14.25,0.76,4.7,3.02,0.7
2019,15.24,1.87,9.64,6.17,0.66
2018,4.83,-1.46,-7.16,-4.62,0.0
2017,14.3,1.04,7.58,4.97,0.73
2016,9.97,0.23,-0.14,-0.09,0.0
2015,9.24,-0.33,-4.25,-2.78,0.0
2014,10.75,-0.02,0.86,0.6,0.0
2013,15.27,0.95,4.79,3.41,0.7
2012,15.19,1.17,6.8,4.43,0.7
2011,1.76,-0.03,-0.43,-0.28,0.0
2010,4.11,0.49,5.84,4.2,0.35
2009,4.73,1.79,15.65,11.64,0.5
2008,-4.82,-2.17,-17.11,-12.86,0.0
2007,12.03,1.48,10.63,8.02,0.7
2006,6.09,0.6,7.07,5.47,0.4
2005,2.51,-0.24,0.86,0.69,0.0
