年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,115.2,1.91,6.83,5.3,1.1
2019,110.1,1.74,6.35,4.97,1.0
2018,105.6,1.62,6.01,4.8,1.0
2017,101.1,2.16,8.28,6.68,1.1
2016,96.5,2.68,10.39,8.35,1.2
2015,86.38,2.22,8.7,7.03,1.0
2014,79.85,2.26,9.13,7.46,1.0
2013,72.72,1.84,8.06,6.65,0.9
2012,65.85,1.16,5.33,4.43,0.75
2011,30.46,0.65,3.06,2.38,0.6
2010,32.61,1.99,9.65,6.51,1.0
2009,23.59,1.15,5.55,3.37,0.5
2008,16.65,0.09,0.43,0.27,0.0
2007,20.84,0.72,3.63,2.29,0.0
2006,22.22,1.25,6.34,3.88,0.0
2005,21.24,1.27,6.34,3.74,0.0
2004,20.24,1.32,7.73,4.46,0.0
2003,19.6,1.47,7.39,4.12,0.0
2002,14.23,0.18,0.93,0.5,0.0
2001,13.03,-0.47,-2.58,-1.44,0.0
2000,15.05,0.14,1.03,0.65,0.1
1999,16.03,0.69,4.95,3.27,0.35
1998,15.12,0.65,4.77,3.08,0.4
1997,14.58,0.58,4.27,2.73,0.5
