年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,5.03,2.97,16.71,10.28,1.8
2019,3.7,1.34,8.06,4.77,0.8
2018,3.51,2.69,15.59,6.98,1.0
2017,2.65,2.71,19.01,7.56,1.0
2016,1.71,1.8,14.15,6.57,0.8
2015,1.0,1.45,12.74,6.18,0.4
2014,0.36,1.09,10.65,5.29,0.0
2013,-0.19,0.7,7.55,3.51,0.0
2012,-0.55,0.28,3.21,1.45,0.0
2011,-0.73,0.52,6.25,2.81,0.0
2010,-0.99,0.08,1.03,0.48,0.0
2009,-2.32,-0.32,-4.92,-2.25,0.0
2008,-2.12,0.22,3.32,1.47,0.0
2007,-2.26,-0.49,-7.4,-3.28,0.0
2006,-3.56,-0.91,-12.62,-5.37,0.0
2005,-1.61,-2.87,-33.25,-14.66,0.0
2004,-2.27,-1.12,-14.41,-6.45,0.0
2003,-1.39,-0.3,-3.55,-1.53,0.0
