年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,-20.69,-0.55,-58.34,-5.4,0.0
2019,-18.26,-2.14,-94.09,-15.67,0.0
2018,-13.22,-0.94,-28.59,-5.64,0.0
2017,-10.75,-3.09,-58.36,-14.4,0.0
2016,-5.0,-0.68,-7.95,-2.44,0.0
2015,-3.37,-0.83,-9.02,-2.83,0.0
2014,-1.59,-1.3,-11.88,-3.91,0.0
2013,0.63,-0.68,-5.66,-2.02,0.0
2012,1.98,0.24,2.31,0.88,0.0
2011,1.12,0.4,4.02,1.53,0.5
2010,1.3,0.71,6.56,2.42,0.5
2009,-0.14,-0.31,-2.2,-0.84,0.0
2008,0.42,-0.22,-1.67,-0.67,0.0
2007,1.88,0.71,5.67,2.35,0.3
2006,1.53,0.46,3.35,1.47,0.5
2005,2.06,0.72,5.85,2.75,0.7
2004,2.04,0.98,8.24,4.13,0.7
2003,0.94,0.38,3.29,1.74,0.35
2002,0.28,0.06,0.51,0.28,0.0
