年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,9.78,1.51,9.96,5.37,0.7
2019,8.84,1.44,9.93,5.17,0.7
2018,7.84,1.09,7.47,3.88,0.7
2017,6.62,0.58,4.28,2.26,0.5
2016,6.48,0.51,3.59,1.93,0.5
2015,6.37,0.59,4.32,2.43,0.48
2014,6.39,0.55,4.14,2.4,0.45
2013,6.0,0.36,2.59,1.49,0.3
2012,6.09,0.56,4.21,2.37,0.5
2011,0.96,0.41,3.17,1.77,0.35
2010,0.78,0.37,2.94,1.72,0.3
2009,0.36,0.19,1.52,0.87,0.15
2008,-0.65,-0.77,-6.06,-3.33,0.0
2007,1.41,0.35,2.72,1.53,0.27
2006,1.29,0.3,1.9,1.05,0.25
2005,1.15,0.24,2.62,1.45,0.2
