年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,89.27,0.57,3.89,2.12,0.35
2019,82.76,0.06,0.47,0.26,0.2
2018,88.43,0.65,4.23,2.44,0.4
2017,79.6,0.45,2.71,1.64,0.36
2016,77.65,0.35,1.84,1.17,0.32
2015,79.24,0.75,4.43,2.86,0.45
2014,71.99,0.29,1.47,1.0,0.17
2013,76.81,0.76,4.79,3.49,0.3
2012,69.12,0.44,2.84,2.11,0.15
2011,46.13,0.35,2.28,1.68,0.2
2010,57.34,1.74,11.46,8.38,0.8
2009,39.87,0.64,4.43,3.17,0.4
2008,30.3,-0.16,-1.1,-0.78,0.0
2007,42.42,1.14,7.37,5.3,0.6
2006,29.29,0.3,2.04,1.43,0.25
2005,24.78,0.01,0.06,0.04,0.0
2004,27.8,0.56,4.42,2.73,0.2
2003,24.31,0.61,4.88,3.0,0.3
2002,18.59,0.5,4.13,2.49,0.2
2001,8.9,-0.65,-5.32,-3.18,0.0
2000,18.64,0.01,0.08,0.05,0.0
1999,21.57,0.12,0.94,0.56,0.2
1998,19.85,0.01,0.07,0.04,0.0
1997,27.01,0.73,5.34,3.26,0.0
1996,23.75,0.39,2.83,1.73,0.0
1995,25.19,0.68,4.88,3.15,0.0
1994,29.98,1.76,12.82,8.68,0.0
