年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,108.5,2.05,11.04,4.53,1.5
2019,101.0,1.99,11.15,4.49,1.4
2018,87.55,1.25,6.99,2.69,0.9
2017,84.97,1.65,8.81,3.44,0.5
2016,88.68,2.38,11.95,5.16,1.5
2015,86.92,2.81,12.95,5.96,1.5
2014,77.47,2.25,10.99,5.07,1.8
2013,71.73,1.94,10.11,4.6,1.4
2012,63.24,1.3,7.15,3.33,1.1
2011,56.79,1.23,6.67,3.23,1.0
2010,63.52,2.6,13.87,7.11,1.5
2009,63.25,3.51,18.12,9.23,2.2
2008,45.96,1.7,9.73,4.65,1.5
2007,51.57,3.11,17.44,8.31,1.4
2006,44.77,3.23,18.51,8.6,1.2
2005,36.86,2.41,14.13,6.21,1.2
2004,32.44,2.09,12.71,5.59,0.8
2003,26.53,1.36,8.3,3.94,1.0
2002,27.29,1.67,10.36,5.26,1.4
2001,23.43,1.19,7.51,3.89,0.5
2000,23.76,1.58,13.7,7.07,0.5
