年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,4.3,-1.86,-12.4,-9.38,0.3
2019,6.42,1.28,9.74,7.41,0.5
2018,-9.67,-0.61,-6.77,-5.35,0.0
2017,-7.3,-1.21,-12.41,-9.44,0.0
2016,-2.61,-0.45,-4.21,-3.11,0.0
2015,-0.86,-1.01,-8.48,-6.25,0.0
2014,3.04,0.08,0.63,0.47,0.0
2013,3.54,0.04,0.38,0.28,0.2
2012,5.63,0.45,3.76,2.84,0.5
2011,2.71,0.67,5.88,4.54,0.0
2010,0.16,0.4,3.6,2.76,0.0
2009,-1.35,0.26,2.55,1.95,0.0
2008,-2.35,0.13,1.26,0.99,0.0
2007,-2.85,0.13,1.05,0.82,0.0
2006,-3.34,-0.37,-3.58,-2.7,0.0
2005,-6.94,-1.79,-17.38,-12.57,0.0
2004,-0.64,-0.77,-6.64,-4.64,0.0
2003,2.29,0.0,0.03,0.02,0.0
2002,2.28,0.04,0.32,0.22,0.0
2001,2.11,0.0,0.01,0.01,0.0
2000,2.1,0.13,1.17,0.82,0.0
1999,1.58,0.17,1.53,1.11,0.0
1998,2.58,0.53,4.77,3.21,0.0
1997,2.93,0.21,1.74,1.08,0.0
1996,2.4,0.49,4.27,2.92,0.0
1995,1.11,0.16,1.27,0.91,0.0
